,Code,Elevation,Latitude,Longitude,Name,Time,Time Range,Unnamed: 0
0,CA002100200,660.0,60.1667,-134.7,CARCROSS,97 years,1907-2004,7.0
1,CA002100630,595.0,60.7667,-137.5833,HAINES_JUNCTION,77 years,1944-2021,16.0
2,CA002100700,504.0,63.6167,-135.8667,MAYO_A,88 years,1925-2013,25.0
3,CA002100800,250.0,67.5667,-139.8333,OLD_CROW_A,64 years,1951-2015,29.0
4,CA002100950,49.0,68.95,-137.2167,SHINGLE_POINT_A,64 years,1957-2021,36.0
5,CA002101100,705.0,60.1667,-132.7333,TESLIN_A,70 years,1943-2013,45.0
6,CA002101200,687.0,60.1167,-128.8167,WATSON_LAKE_A,76 years,1938-2014,48.0
7,CA002101300,706.0,60.7167,-135.0667,WHITEHORSE_A,79 years,1942-2021,50.0
8,CA002101400,640.0,60.7167,-135.0333,WHITEHORSE_RIVERDALE,53 years,1959-2012,53.0
9,CA002101415,707.0,60.7333,-135.0833,WHITEHORSE_WSO,71 years,1942-2013,54.0
10,CA002200100,6.0,68.2167,-135.0,AKLAVIK_A,83 years,1926-2009,55.0
11,CA002200675,87.0,70.1667,-124.7167,CAPE_PARRY_A,64 years,1957-2021,56.0
12,CA002201500,42.0,66.25,-128.6333,FORT_GOOD_HOPE_2,81 years,1898-1979,63.0
13,CA002201600,31.0,67.4333,-134.8833,FORT_MCPHERSON,85 years,1892-1977,66.0
14,CA002201700,100.0,64.9167,-125.5667,TULITA_A,99 years,1908-2007,68.0
15,CA002201900,166.0,62.7167,-109.1667,FORT_RELIANCE,65 years,1948-2013,71.0
16,CA002202000,160.0,61.1833,-113.6833,FORT_RESOLUTION_A,77 years,1930-2007,74.0
17,CA002202101,169.0,61.7667,-121.2333,FORT_SIMPSON_A,93 years,1921-2014,76.0
18,CA002202196,183.0,60.0,-111.9333,FORT_SMITH,91 years,1913-2004,79.0
19,CA002202198,207.0,60.0,-111.8667,FORT_SMITH,76 years,1928-2004,80.0
20,CA002202200,205.0,60.0167,-111.9667,FORT_SMITH_A,90 years,1931-2021,81.0
21,CA002202570,68.0,68.3,-133.4833,INUVIK_A,64 years,1957-2021,89.0
22,CA002202800,73.0,65.2833,-126.8,NORMAN_WELLS_A,70 years,1943-2013,95.0
23,CA002202801,73.0,65.2833,-126.8,NORMAN_WELLS,76 years,1945-2021,96.0
24,CA002204000,150.0,63.2167,-123.4333,WRIGLEY_A,64 years,1943-2007,110.0
25,CA002204100,206.0,62.4667,-114.4333,YELLOWKNIFE_A,70 years,1942-2012,111.0
26,CA002204200,159.0,62.6667,-114.25,YELLOWKNIFE_HYDRO,57 years,1943-2000,114.0
27,CA002204300,204.0,61.25,-123.75,YOHIN,64 years,1957-2021,115.0
28,CA002300500,19.0,64.3,-96.0833,BAKER_LAKE_A,75 years,1946-2021,123.0
29,CA002300551,5.0,66.8333,-108.0167,BATHURST_INLET,64 years,1957-2021,125.0
30,CA002300700,59.0,63.3333,-90.7167,CHESTERFIELD,60 years,1921-1981,126.0
31,CA002300707,10.0,63.35,-90.7333,CHESTERFIELD_INLET_A,82 years,1931-2013,127.0
32,CA002300900,9.0,67.8333,-115.1167,COPPERMINE,74 years,1930-2004,130.0
33,CA002300902,23.0,67.8167,-115.15,KUGLUKTUK_A,77 years,1944-2021,131.0
34,CA002301000,62.0,64.2,-83.3667,CORAL_HARBOUR_A,88 years,1933-2021,134.0
35,CA002301102,353.0,61.1333,-100.8833,ENNADAI_LAKE_AUT,64 years,1957-2021,136.0
36,CA002302370,36.0,68.3167,-100.0833,HAT_ISLAND,62 years,1959-2021,141.0
37,CA002303685,43.0,68.8167,-93.4333,SHEPHERD_BAY_A,64 years,1957-2021,150.0
38,CA002400300,30.0,82.5167,-62.2833,ALERT,56 years,1950-2006,154.0
39,CA002400306,65.0,82.5,-62.3333,ALERT_UA,56 years,1950-2006,156.0
40,CA002400400,22.0,73.0333,-85.15,ARCTIC_BAY,65 years,1937-2002,157.0
41,CA002400565,376.0,63.3333,-64.15,BREVOORT_ISLAND,62 years,1959-2021,159.0
42,CA002400570,584.0,67.5333,-63.7833,FOX_FIVE,63 years,1958-2021,160.0
43,CA002400600,31.0,69.1,-105.1333,CAMBRIDGE_BAY_A,92 years,1929-2021,165.0
44,CA002400602,19.0,69.1,-105.1333,CAMBRIDGE_BAY_GSN,80 years,1941-2021,166.0
45,CA002400635,48.0,64.2333,-76.5333,CAPE_DORSET_A,58 years,1963-2021,168.0
46,CA002400650,725.0,66.65,-61.3833,CAPE_DYER,63 years,1958-2021,171.0
47,CA002400654,393.0,66.5833,-61.6167,CAPE_DYER_A,65 years,1956-2021,172.0
48,CA002400660,390.0,68.4667,-66.8167,CAPE_HOOPER,64 years,1957-2021,173.0
49,CA002400800,27.0,70.4833,-68.5167,CLYDE_A,75 years,1933-2008,175.0
50,CA002401030,527.0,68.65,-71.1667,DEWAR_LAKES,63 years,1958-2021,179.0
51,CA002401200,10.0,79.9833,-85.9333,EUREKA,74 years,1947-2021,180.0
52,CA002402350,9.0,68.7833,-81.25,HALL_BEACH_A,64 years,1957-2021,184.0
53,CA002402354,9.0,68.7833,-81.25,HALL_BEACH,60 years,1961-2021,186.0
54,CA002402590,34.0,63.75,-68.55,IQALUIT_A,64 years,1946-2010,189.0
55,CA002402594,22.0,63.75,-68.55,IQALUIT_UA,79 years,1942-2021,191.0
56,CA002402600,25.0,78.7833,-103.5333,ISACHSEN,65 years,1948-2013,192.0
57,CA002402604,58.0,78.8,-103.55,ISACHSEN_AUT,73 years,1948-2021,193.0
58,CA002402684,161.0,68.9,-75.1333,LONGSTAFF_BLUFF,63 years,1958-2021,195.0
59,CA002403050,15.0,66.1333,-65.7333,PANGNIRTUNG,90 years,1925-2015,201.0
60,CA002403450,15.0,75.3833,-105.7167,REA_POINT,51 years,1969-2020,207.0
61,CA002403500,68.0,74.7167,-94.9667,RESOLUTE_CARS,74 years,1947-2021,209.0
62,CA002403505,30.0,74.7167,-94.9833,RESOLUTE_CS,73 years,1948-2021,210.0
63,CA002403602,369.0,61.6,-64.6333,RESOLUTION_ISLAND,90 years,1931-2021,212.0
64,CA002403625,41.0,69.0833,-79.0333,ROWLEY_ISLAND,64 years,1957-2021,213.0
65,CA002502700,12.0,76.2333,-119.3333,MOULD_BAY_A,65 years,1948-2013,222.0
66,CA002503650,86.0,72.0,-125.2667,SACHS_HARBOUR_A,53 years,1955-2008,224.0
67,CAXLT660207,0.0,63.8,-68.6,FROBISHER_BAY,59 years,1942-2001,229.0
68,FI000002401,139.0,62.4019,25.6783,JYVASKYLA_LENTOASEMA,70 years,1951-2021,233.0
69,FI000002963,104.0,60.8139,23.5006,JOKIOINEN_JOKIOISTEN_OBSERVATO,64 years,1957-2021,234.0
70,FIE00007672,8.0,65.0192,24.7314,HAILUOTO_OJAKYLA,55 years,1959-2014,236.0
71,FIE00141805,5.0,60.1244,19.9067,JOMALA_MAARIANHAMINAN_LENTOASE,62 years,1959-2021,238.0
72,FIE00141819,3.0,60.3,19.1331,MARKET_STORBY,51 years,1963-2014,239.0
73,FIE00141855,11.0,60.1781,19.9894,JOMALA_JOMALABY,59 years,1962-2021,240.0
74,FIE00141864,3.0,60.3008,19.135,HAMMARLAND_MARKET,58 years,1963-2021,241.0
75,FIE00141884,5.0,60.3939,21.9464,NAANTALI_RAULA,55 years,1959-2014,243.0
76,FIE00141895,9.0,60.1542,19.8753,JOMALA_SODERSUNDA,52 years,1962-2014,245.0
77,FIE00141935,6.0,60.3867,22.5544,KAARINA_YLTOINEN,62 years,1959-2021,247.0
78,FIE00141940,26.0,60.4167,22.4331,PIIKKIO_TUORLA,55 years,1959-2014,248.0
79,FIE00141945,16.0,60.4667,22.0331,NAANTALI_KESKUSTA,55 years,1959-2014,249.0
80,FIE00141974,28.0,60.3831,22.55,PIIKKIO_YLTOINEN_VERTAILUAS,54 years,1960-2014,250.0
81,FIE00142010,8.0,60.4542,22.1817,TURKU_ARTUKAINEN,62 years,1959-2021,254.0
82,FIE00142020,84.0,60.4,23.7667,SUOMUSJARVI_KETTULA,53 years,1959-2012,256.0
