"","V1","V2"
"277","SWE00140746.csv",51
"279","SWE00140836.csv",42
"280","SWE00140954.csv",51
"281","SWM00002080.csv",51
"282","UK000003005.csv",51
"283","USC00500272.csv",51
"286","USC00502107.csv",51
"287","USC00502607.csv",49
"288","USC00502707.csv",51
"289","USC00502965.csv",47
"290","USC00505733.csv",51
"291","USC00505778.csv",51
"293","USC00506870.csv",49
"294","USC00507783.csv",51
"297","USC00509015.csv",43
"299","USC00509641.csv",51
"300","USR0000AFAI.csv",51
"302","USW00026410.csv",51
"303","USW00026411.csv",51
"304","USW00026412.csv",51
"305","USW00026415.csv",51
"306","USW00026425.csv",51
"307","USW00026438.csv",51
"309","USW00026442.csv",50
"311","USW00026451.csv",51
"312","USW00026510.csv",51
"313","USW00026523.csv",51
"314","USW00026528.csv",51
"315","USW00026529.csv",51
"316","USW00026533.csv",51
"317","USW00026615.csv",51
"318","USW00026616.csv",51
"319","USW00026617.csv",51
"320","USW00027401.csv",51
"321","USW00027502.csv",51
