,Code,Latitude,Longitude,Elevation,Name,Correlation1,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Correlation10,Correlation11,Correlation12
0,CA002100100,61.65,-137.4833,966.0,AISHIHIK_A,-0.05664815573426583,-0.3830372141716344,0.032376253442510855,0.2076694403989901,0.30921896939772,-0.06506852580607944,0.022963571514424908,0.3991068425912342,-0.01938846417483102,0.28427410385549595,0.25603405742572827,-0.3689210028211855
1,CA002100115,60.4667,-134.8333,820.0,ANNIE_LAKE_ROBINSON,0.24929206461222292,-0.4969840186649429,-0.27854512599344455,0.5782117300145648,0.5867751749261141,0.6966760940237993,0.3633504297192716,0.012775619284330039,0.20623733114989395,0.37792625879136504,0.39553371723408925,-0.21018188870108462
2,CA002100120,62.3667,-133.3833,1158.0,ANVIL,0.3386390760848914,0.07410504572405875,-0.09056576520448655,0.5849396745617135,0.46868528405675175,-0.2453662122363294,0.4784518987240161,0.21606866347154247,-0.06450713107419606,0.6084663556296173,-0.1750368654236121,-0.005009380320708004
3,CA002100160,62.4167,-140.8667,649.0,BEAVER_CREEK_A,0.27301878960390047,0.2336491259441854,0.350426757560317,0.5619293473080836,0.35289960226247385,0.37501007551056925,0.47524683749007735,0.20770651009036825,0.2859027389778607,0.2728768716303003,0.2349142774750999,0.27148076734776333
4,CA002100163,60.0,-136.7667,836.0,BLANCHARD_RIVER,-0.09422719809101583,-0.16333010837954487,0.3088809919454288,0.47881387865598024,0.5257423381034428,0.6421381914901113,0.5063342269248994,0.2930357102812615,0.2759481100457356,-0.025993227086465547,0.3032714337713817,-0.001683001758093733
5,CA002100167,61.4667,-135.7833,716.0,BRAEBURN,0.3644284215498595,-0.049114079442613714,-0.26642950811298366,0.2498890421782572,0.1530110798161596,0.13481442512485334,0.33651972502586713,0.2131302845560148,-0.050925241122498854,0.5603144150589566,-0.04716165322589353,-0.08147437149629064
6,CA002100182,61.3667,-139.05,806.0,BURWASH_A,0.23990285189755783,0.1599628812751215,0.3995026990645863,0.5183760832457693,0.5040593387576242,0.31179909999044825,0.3809047787697602,0.14051970431302027,0.10873239260144411,0.29740570961169355,-0.014798281421248765,0.06990704694393263
7,CA002100200,60.1667,-134.7,660.0,CARCROSS,0.2260590990629566,0.061921810354062766,0.275376600611539,0.5056260281380445,0.5266670905759551,0.4143013111116002,0.49705465626651935,0.29602994381581904,0.24902170713935656,0.18905889621173122,0.3196861221595124,-0.2440054027232587
8,CA002100300,62.1,-136.3,525.0,CARMACKS,0.3396067881488277,0.036681481651404294,0.4598335333219012,0.6202597433359862,0.3912092299346532,0.23600440530816189,0.5621020472946375,0.3134219571308885,0.03758696991399086,0.47448820778016665,0.2738613219170225,-0.07227795624754631
9,CA002100301,62.1167,-136.2,543.0,CARMACKS_CS,-0.24426136417984787,0.3596781199243683,0.5831986978568843,0.5177522457085789,0.3708312187418869,0.37207234378651727,0.15380006962426124,0.05243915458812836,-0.1429308128035671,0.28875784956617545,0.022223328927718822,0.13134227702179357
10,CA002100400,64.05,-139.4333,320.0,DAWSON,0.2621105008805299,0.1619141970288431,0.17212961652906253,0.4043887590849607,-0.0019792436289465002,0.2588173011005418,0.34919256515302144,0.16215043582544952,0.278188924062087,0.27600299331995964,0.21432652418652076,-0.00744480788492257
11,CA002100402,64.05,-139.1333,370.0,DAWSON_A,0.22986326743519306,0.13964159932818304,0.268200443329189,0.45333743828966616,0.1874973908468244,0.32928092055319136,0.3115539121788841,0.13227352757406716,0.22809784507775044,0.2482034996286885,0.11205859513866157,0.08086763096066289
12,CA002100460,62.2,-134.3833,609.0,DRURY_CREEK,-0.014118762944994832,-0.020882935380094135,0.3244551944316718,0.36710203351406157,0.27431320022753364,0.39297827472325586,0.687720846429606,0.07782096592568326,0.1265384458857387,0.27393320492122936,0.3524387259084843,-0.13528012514880605
13,CA002100500,63.9167,-135.4833,814.0,ELSA,0.15148085323362784,0.08284494193204903,0.22323770767319964,0.48655492756609,0.02307083893056758,0.44528471073296383,0.2692761782254493,0.7368175593027034,0.5500910163965196,0.4108977843903284,0.14473650968300092,0.21042361334303575
14,CA002100517,62.2,-133.3667,716.0,FARO_A,0.07978334842844154,0.04042851404787802,0.1437158214349723,0.4404074955560009,0.18120013711653138,0.27410167173596617,0.4453170113877946,0.27120777228154264,0.18605298911811896,0.2174704524468511,-0.17510391194047473,0.2181289159042161
15,CA002100518,62.2,-133.3833,717.0,FARO_AUT,-0.2763353967918235,0.2144313925477839,0.4642365871497763,0.5256498691794356,0.17115275693055068,0.245655639615241,0.2743212762782025,0.3738350139604972,-0.14129154703028374,0.1251698176898562,-0.1441339126121861,0.022105213013251027
16,CA002100630,60.7667,-137.5833,595.0,HAINES_JUNCTION,0.283090245189688,0.16759886666832466,0.3855767388376531,0.4130580382370543,0.38653651599709016,0.3101140248635374,0.4425102861056742,0.3538928675381997,0.11093301852832559,0.3061512545709287,0.17640078069146228,-0.14852951867690156
17,CA002100636,69.5667,-138.9167,1.0,HERSCHEL_ISLAND,0.38279888770000986,0.5761299085090348,0.3334576450603841,0.5349357365847677,0.2863131423585605,0.8447407214458575,0.615590394054526,0.5419158253257891,0.46033872146967714,0.2264673763131908,0.15805909048817388,0.28966498479420905
18,CA002100660,69.1667,-140.15,244.0,IVVAVIK_NAT_PARK,0.1931789237769102,0.31143497380304574,0.27532123462731567,0.4036897233130831,0.017496030490671152,0.3600647975877709,0.1468840519109229,0.34082731399722915,0.34034991451112123,-0.07789742427358222,0.0817686145474359,0.1579246949870963
