,Unnamed: 0,V1,V2,Correlation1,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Correlation10,Correlation11,Correlation12
0,1,CA002101300.csv,51,0.20885491546882742,-0.020291121092263633,0.2045854637598715,0.5142037774619788,0.33420668616925997,0.056821929048733746,0.27146768665945475,0.3211641319048582,0.08808977702900903,0.36759991021538146,0.15900156477421493,-0.057143904420232976
1,2,CA002101415.csv,51,0.23138950415833398,-0.016777166453434782,0.2044420796907704,0.5171793692314476,0.3213978154331567,0.031969015662967885,0.23398738402405067,0.38630327579576546,0.10670529691620548,0.423177962482878,0.11938156404020374,-0.09436130460910117
2,3,CA002201900.csv,44,0.14243239671675118,0.26895545844712715,0.08628369774657119,0.4496307895525384,0.42634849910304157,0.5648152413925973,0.43538977698118925,0.013984223880986503,0.3467609861370791,0.32391154584801857,0.301159144775741,0.08063840228549263
3,5,CA002202101.csv,51,0.09421669279043561,0.0961634011558844,0.2904100857143533,0.5095963642883056,0.28401176426381836,0.177504776514825,0.30188849455826594,0.0876368974340181,0.08339075427700221,0.16604981496953017,0.15758979638947862,0.049619293659230755
4,6,CA002202115.csv,51,0.1052082095266561,0.08512151019754939,0.2757289368831588,0.4879656385854068,0.26633344300421546,0.18930370418849435,0.2588424779267749,0.07421829111025083,0.10422615701367142,0.1556603899204454,0.16531448114813857,0.05078163785490318
5,7,CA002202196.csv,51,0.2029627528045776,0.2044966099847788,0.2357473162296785,0.3741542748820802,0.3368472358160588,0.36421870575583176,0.3823692748859668,0.04824182262634881,0.12072756945820506,0.2381353912285635,0.30386059650118347,-0.09334579568548002
6,8,CA002202198.csv,51,0.2032508284966325,0.20114912069398186,0.22155627951194698,0.21199693715635437,0.05301990325555293,0.35666326596335607,0.3571855361424353,0.052129378347272645,0.1036361519107034,0.22880488698531307,0.25307764712835334,-0.06577733929200041
7,9,CA002202200.csv,51,0.20449860753579352,0.2083022058396805,0.2519407230360179,0.3642215999876037,0.33848611408779067,0.38492279307808125,0.35217752309568345,0.048296818194585096,0.13212413718542443,0.22740381030816745,0.3190295160199474,-0.018949538042193844
8,10,CA002202400.csv,51,0.1253206609376659,0.15529241967746873,0.11810816852465629,0.42996592194283617,0.4507010388241486,0.201895899493223,0.2719512035703288,0.08333100012445677,0.1557312385946099,0.2313662243032782,0.29557945738507935,0.011216813313380628
9,11,CA002202800.csv,51,0.044704497921693336,-0.07018800950630419,0.28454999264992636,0.5093891367315097,0.3435766236520102,0.21608468914210102,0.3216360108755003,0.07868397458692887,0.13398581494767292,0.10061714842217806,-0.10565741524851975,0.0682715738419914
10,12,CA002202801.csv,51,0.003215342256336715,-0.057833234064405575,0.28882457642136256,0.5030082126053509,0.3384637272141316,0.2491890096714101,0.3082325937225382,0.15120925848986758,0.1520307522075838,0.046918468073857106,0.01162265272641583,0.14557209369770333
11,13,CA002204100.csv,51,0.11348651403565248,0.19914032912026433,0.13415096392376408,0.4416003521984622,0.3694915962531446,0.3786768468015831,0.32474850172079595,0.15555693717208055,0.2617797764537612,0.2720677199182888,0.2887979881766956,-0.01502283908686698
12,14,CA002300500.csv,51,0.08589942655702845,0.09378015599921669,0.01786600825213562,0.2531090174804278,0.555101783766062,0.6251221280656217,0.4163269551094426,0.25141924133173915,0.556705760142243,0.40081330466033555,0.21658964877583076,0.08767126832070077
13,15,CA002300707.csv,50,-0.009739490923180492,-0.025329310549704567,0.05857837272397449,0.2284642103640949,0.5959241812811599,0.7086428604321232,0.43278429089143433,0.36409595179927645,0.5536723132429638,0.5324161325826737,0.093393270255056,0.05375036699424061
14,16,CA002300900.csv,51,0.06673764057413797,0.2290553512694469,0.16195648764068812,0.24255503879763912,0.3658186957051917,0.6597924962889378,0.3164133669495514,0.2645720117465337,0.2856353967204135,0.11678425039478854,0.36542246516033206,0.0711706006921843
15,18,CA002301000.csv,51,0.1367572967374936,-0.019353600428957524,0.21800385282284054,0.10924682555153471,0.5101000377735962,0.5252259050583675,0.4117401840450875,0.3363016648778556,0.4355084686648691,0.4166366743583125,0.21246379688452233,0.13208007772486877
16,20,CA002400600.csv,51,-0.020665327463919067,0.04336683189652923,0.09397353142647989,0.11700796346509584,0.4721848270908982,0.5754495755045577,0.47229118705870093,0.4898339805419866,0.47524781259028115,0.1464853122869828,0.245198691544909,-0.040150071017853874
17,21,CA002400602.csv,51,-0.024259886544969102,0.04335901799926128,0.06116098162472544,0.09864389867401156,0.4678695525875709,0.5910808344979189,0.48271395384848387,0.5007272122087242,0.46788409722378815,0.1269425277862358,0.2201242055782793,0.04210110367183595
18,22,CA002400800.csv,51,0.35987965876328315,0.14040710125481692,0.04788747343761292,0.09083282364697073,0.2606399494312384,0.6641009063607457,0.3639566171557364,0.49027516830951945,0.3139264059455655,0.4768016554692696,0.3905752678591638,0.1926348579399199
19,23,CA002401200.csv,51,-0.03586936601644349,0.04902495346617693,0.2237854414881631,0.3167081328381264,0.4162162964570262,0.4214903164041663,0.17770543352734258,0.29148537075193637,0.26999802095841635,0.14114142237562766,0.3262352565103684,0.11327062992065975
20,24,CA002402590.csv,51,0.35518870250029927,0.061662478475040784,0.05522718398227639,0.13424088102369933,0.4012282879544123,0.41778836226431515,0.27004588409826524,0.3451289404442214,0.28453733859938096,0.3770668113700993,0.15141916608865252,0.11558168088231063
21,29,CA002403500.csv,51,-0.06968147783320983,0.006337070102163726,0.06726431610087916,0.1014477871965965,0.3278610356214835,0.46702683925524197,0.30629839282628846,0.35985298139664507,0.38111915529168766,0.08127818004960585,0.17368302266044963,0.2004533615319945
22,30,CA002403505.csv,51,-0.036938479015744714,0.004780136942477563,0.06616212705090059,0.061699220199348086,0.3031912421036731,0.46255728987156164,0.3025929881790803,0.3554029493675574,0.3802999299009345,0.08270178964513576,0.11227135902693161,0.0004896813468579568
