,Code,Elevation,Latitude,Longitude,Name,Time,Time Range
64,GLE00100981,39,69.2167,-51.05,ILULISSAT_JAKOBSHAVN,147 years,1866-2013
65,GLE00100992,29,69.2331,-51.0667,ILULISSAT_MITTARFIK,143 years,1877-2020
66,GLE00146901,120,72.7831,-56.1667,UPERNAVIK,139 years,1873-2012
67,GLE00146961,39,69.22,-51.1,ILULISSAT,135 years,1877-2012
68,GLE00147481,70,70.4831,-21.95,ITTOQQORTOORMIIT,80 years,1941-2021
69,GLM00004220,41,68.7,-52.85,AASIAAT_EGEDESMINDE,78 years,1943-2021
70,GLM00004390,19,60.033,-43.117,PRINS_CHRISTIAN,78 years,1943-2021
71,GLW00016504,50.3,67.0167,-50.8,SONDRESTROM,71 years,1949-2020
72,GLW00017605,77.1,76.5167,-68.8333,THULE_OP_SITE,75 years,1946-2021
73,IC000004013,15,65.0733,-22.7275,STYKKISHOLMUR,175 years,1846-2021
74,IC000004030,52,64.1331,-21.9,REYKJAVIK,120 years,1901-2021
75,IC000004048,118,63.4,-20.2831,VESTMANNAEYJAR,137 years,1884-2021
76,IC000004063,27,65.68,-18.0794,AKUREYRI,139 years,1882-2021
77,IC000004092,23,64.6831,-15.2275,TEIGARHORN,72 years,1937-2009
78,IC000004097,9,65.2667,-13.5831,DALATANGI,72 years,1949-2021
79,ICW00016201,50.3,63.9667,-22.6,KEFLAVIK,78 years,1943-2021
80,JN000099950,10,70.93,-7.33,JAN_MAYEN,84 years,1937-2021
81,NO000001026,100,69.6539,18.9281,TROMSO,154 years,1867-2021
82,NO000011520,13,67.267,14.367,BODO_VI,147 years,1868-2015
83,NO000050550,40,60.4,5.317,BERGEN_FREDRIKSBERG,188 years,1816-2004
84,NO000068330,242,63.2,11.117,SELBU_STUBBE,86 years,1920-2006
85,NO000080700,39,66.8167,13.9831,GLOMFJORD,78 years,1943-2021
86,NO000097250,129,69.4667,25.5031,KARASJOK,139 years,1876-2015
87,NO000098550,15,70.367,31.1,VARDO,192 years,1829-2021
88,NO000099710,16,74.5167,19.0167,BJOERNOEYA,84 years,1937-2021
89,NOE00105467,11,67.2669,14.3589,BODOE_VI,81 years,1940-2021
90,NOE00105476,6,76.5,25.0667,HOPEN,76 years,1945-2021
91,NOE00105477,10,70.9331,-8.6667,JAN_MAYEN,94 years,1921-2015
92,NOE00105482,167,60.5683,9.1217,NESBYEN_SKOGLUND,71 years,1943-2014
93,NOE00105494,14,70.3669,31.0844,VARDOE,90 years,1931-2021
94,NOE00105498,131,69.4633,25.5019,KARASJOK_MARKANNJARGA,78 years,1943-2021
95,NOE00105503,166,60.5669,9.1333,NESBYEN_TODOKK,78 years,1943-2021
96,NOE00109394,76,69.0589,18.5403,BARDUFOSS,75 years,1946-2021
97,NOE00109514,202,60.2064,11.0803,GARDERMOEN,81 years,1940-2021
98,NOE00109719,11,62.8667,6.55,ONA,146 years,1868-2014
99,NOE00111040,127,63.4106,10.4533,TRONDHEIMVOLL,260 years,1761-2021
100,NOE00111273,228,68.7781,19.71,DIVIDALEN,76 years,1938-2014
101,NOE00111363,7,78.0667,13.6331,ISFJORD_RADIO,109 years,1912-2021
102,NOE00111385,6,66,2,MIKE,60 years,1949-2009
103,NOE00112071,12,63.5,10.89,VAERNES,81 years,1940-2021
104,NOE00134898,8,69.6767,18.9131,TROMSOLANGNES,165 years,1856-2021
105,NOM00001089,91,69.733,29.9,KIRKENES,95 years,1918-2013
106,NOM00001233,638,62.083,9.117,DOMBAAS,157 years,1864-2021
107,NOM00001238,952,62.1167,9.2831,FOKSTUA,98 years,1923-2021
108,NON00006020,185,60.6141,12.0125,FLISA_II,93 years,1919-2012
109,NON00009310,1012,62.2207,9.5423,HJERKINN_II,121 years,1891-2012
110,NON00028922,275,60.0435,9.1468,VEGGLI_II,115 years,1897-2012
111,NON00049490,12,60.3185,6.6538,ULLENSVANG_FORSOKSGARD,147 years,1865-2012
112,NON00050300,408,60.3933,5.9133,KVAMSKOGEN,59 years,1947-2006
113,NON00052290,114,60.841,5.9533,MODALEN_II,67 years,1945-2012
114,NON00052530,20,60.7528,4.7106,HELLISOY_FYR,138 years,1867-2005
115,NON00053100,51,61.1725,6.6455,VANGSNES,91 years,1921-2012
116,NON00055230,2062,61.5158,7.9058,FANNARAKI,81 years,1931-2012
117,NON00059100,38,62.0346,4.9859,KRAKENES_FYR,87 years,1925-2012
118,NON00065100,9,63.2066,8.991,VINJEORA_II,85 years,1920-2005
119,NON00075600,47,65.0975,11.7022,LEKA,62 years,1940-2002
120,NON00080610,17,66.7628,12.486,MYKEN,92 years,1920-2012
121,NON00082400,14,67.4257,13.9246,HELLIGVAR,69 years,1943-2012
122,NON00087100,5,69.3237,16.1199,ANDENES,145 years,1867-2012
123,NON00091350,46,69.3777,20.3024,SKIBOTN,64 years,1948-2012
124,NOXLT905825,11,69.5,19,TROMO_SKATTO,148 years,1856-2004
125,RSM00020069,10,79.5,76.98,OSTROV_VIZE,76 years,1945-2021
126,RSM00020087,7,79.55,90.62,OSTROV_GOLOMJANNYJ,91 years,1930-2021
127,RSM00020292,12,77.72,104.3,GMO_IMEKFEDOROVA,89 years,1932-2021
128,RSM00020353,10,76.85,68.55,MYS_ZELANIJA,84 years,1931-2015
129,RSM00020476,10,75.42,88.9,STERLEGOVA,87 years,1934-2021
130,RSM00020667,6,73.33,70.0294,BELY_ISLAND,87 years,1934-2021
131,RSM00020674,42,73.5,80.4,DIKSON,105 years,1916-2021
132,RSM00020744,18,72.3794,52.73,MALIYE_KARMAKULY,124 years,1897-2021
133,RSM00020891,31,71.9831,102.4667,HATANGA,93 years,1928-2021
134,RSM00020946,13,70.45,59.08,IMEKFEDOROVABOLVANSKII_NOS,105 years,1914-2019
135,RSM00020982,37,70.97,94.5,VOLOCHANKA,85 years,1936-2021
136,RSM00021432,12,76,137.87,OSTROV_KOTELNYJ,85 years,1936-2021
137,RSM00021636,26,73.333,139.917,CAPE_KIGILYAKH,87 years,1934-2021
138,RSM00021802,16,71.97,114.08,SASKYLAH,85 years,1936-2021
139,RSM00021824,6,71.58,128.9197,TIKSI,89 years,1932-2021
140,RSM00021908,61,70.1297,113.97,DZALINDA_1,79 years,1942-2021
141,RSM00021921,30,70.68,127.4,KJUSJUR,112 years,1909-2021
142,RSM00021931,23,70.77,136.22,JUBILEJNAJA,87 years,1934-2021
143,RSM00021946,44,70.6167,147.8831,CHOKURDAH,77 years,1944-2021
144,RSM00021982,2,70.9831,-178.4833,OSTROV_VRANGELJA,95 years,1926-2021
145,RSM00022003,8,69.93,31.98,VAJDA_GUBA,125 years,1894-2019
146,RSM00022019,32,69.2,33.4797,POLJARNOE,83 years,1936-2019
147,RSM00022028,33,69.2,35.1,TERIBERKA,128 years,1893-2021
148,RSM00022095,23,69.53,49.08,KOLGUEV_SEVERNYI,85 years,1933-2018
149,RSM00022113,57,68.9667,33.0497,MURMANSK,103 years,1918-2021
150,RSM00022140,70,68.15,39.82,SVYATOY_NOS_CAPECLOSED,124 years,1895-2019
151,RSM00022165,47,68.65,43.3,KANIN_NOS,106 years,1915-2021
152,RSM00022217,26,67.15,32.35,KANDALAKSA,109 years,1912-2021
153,RSM00022235,155,67.37,37.03,KRASNOSHELYE,89 years,1932-2021
