,Code,Elevation,Latitude,Longitude,Name,Time,Time Range
345,USW00026451,36.6,61.1689,-150.0278,ANCHORAGE_INTL_AP,105 years,1916-2021
346,USW00026508,81.1,69.3694,-152.14,UMIAT,56 years,1945-2001
347,USW00026510,101.5,62.9575,-155.6103,MCGRATH_AP,80 years,1941-2021
348,USW00026514,45.7,61.9772,-151.2169,SKWENTNA,77 years,1939-2016
349,USW00026516,26.2,61.5833,-159.5333,ANIAK_AP,92 years,1921-2013
350,USW00026523,27.7,60.5797,-151.2392,KENAI_MUNI_AP,139 years,1882-2021
351,USW00026528,106.7,62.32,-150.095,TALKEETNA_AP,103 years,1918-2021
352,USW00026529,69.2,65.1744,-152.1069,TANANA_CALHOUN_MEM_AP,119 years,1902-2021
353,USW00026533,195.7,66.9161,-151.5089,BETTLES_AP,76 years,1945-2021
354,USW00026615,31.1,60.785,-161.8292,BETHEL_AP,98 years,1923-2021
355,USW00026616,9.1,66.8667,-162.6333,KOTZEBUE_RALPH_WEIN_AP,124 years,1897-2021
356,USW00026617,4,64.5111,-165.44,NOME_MUNI_AP,121 years,1900-2021
357,USW00026627,5.5,63.8833,-160.8,UNALAKLEET_FLD,72 years,1941-2013
358,USW00026703,8.2,63.7833,-171.75,GAMBELL,77 years,1936-2013
359,USW00027401,11.9,70.1333,-143.6333,BARTER_ISLAND_WSO_AP,74 years,1947-2021
360,USW00027502,9.4,71.2833,-156.7814,BARROW_POST_ROGERS_AP,120 years,1901-2021
361,USW00027503,9.1,70.6392,-159.995,WAINWRIGHT_AP,86 years,1935-2021
