,Code,Latitude,Longitude,Elevation,Name
98,RSM00022778,62.233000000000004,45.016999999999996,58.0,VERHNJAJA_TOJMA
99,RSM00022798,62.167,49.117,92.0,JARENSK
100,RSM00022802,61.7167,30.7167,17.0,SORTAVALA
101,RSM00022820,61.8167,34.2667,110.0,PETROZAWODSK
102,RSM00022831,61.8,36.516999999999996,44.0,PUDOZ
103,RSM00022837,61.0167,36.45,55.0,VYTEGRA
104,RSM00022845,61.5,38.93,124.0,KARGOPOL
105,RSM00022854,61.7,40.2,233.0,NJANDOMA
106,RSM00022867,61.083,42.067,91.0,VELSK
107,RSM00022887,61.2331,46.7167,56.0,KOTLAS
108,RSM00022892,60.72,28.8,14.0,VYBORG
109,RSM00022907,60.08,26.97,6.0,GOGLAND
110,RSM00022912,60.983000000000004,32.983000000000004,12.0,OLONEC
111,RSM00022925,60.633,34.783,111.0,VINNICY
112,RSM00022939,60.033,37.783,131.0,BELOZERSK
113,RSM00022954,60.467,40.2,202.0,VOZEGA
114,RSM00022981,60.8,46.3,98.0,VELIKIJ_USTJUG
115,RSM00022996,60.367,49.65,152.0,OBJACEVO
116,RSM00023022,69.75,61.7,53.0,AMDERMA
117,RSM00023032,69.72,66.8194,24.0,MARRE_SALE
118,RSM00023058,69.08,76.9,2.0,ANTIPAJUTA
119,RSM00023074,69.4,86.17,14.0,DUDINKA
120,RSM00023078,69.333,88.25,64.0,NORILSK
121,RSM00023114,68.55,55.5,5.0,MYS_KONSTANTINOVSKII
122,RSM00023146,68.4667,73.5831,2.0,MYS_KAMENNYJ
123,RSM00023174,68.667,86.25,41.0,POTAPOVO
124,RSM00023179,68.1,87.76700000000001,94.0,SNEZHNOGORSK
125,RSM00023205,67.6331,53.0331,5.0,NARJAN_MAR
126,RSM00023219,67.0831,59.3831,84.0,HOSEDA_HARD
127,RSM00023220,67.05,64.0697,113.0,ELEZKAJA
128,RSM00023226,67.483,64.016,172.0,VORKUTA
129,RSM00023242,67.6994,72.9494,12.0,NOVY_PORT
130,RSM00023256,67.47,78.73,26.0,TAZOVSKOE
131,RSM00023274,67.47,86.57,20.0,IGARKA
132,RSM00023305,66.25,52.583,20.0,OKUNEV_NOS
133,RSM00023324,66.43,60.77,58.0,PETRUN
134,RSM00023330,66.5294,66.5294,15.0,SALEKHARD
